kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test_mpipdom_st_rt.1.sm_80.ptx 118 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 117 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 116 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 115 : 16 64 0 0 0 2 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 114 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 113 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 112 : 16 112 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 111 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 110 : 16 688 0 0 0 2 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 109 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 108 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 107 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 106 : 16 64 0 0 0 2 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 105 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 104 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 103 : 16 112 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 154 : 8 32 0 0 0 1 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 75 : 24 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 153 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 74 : 24 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 152 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 73 : 24 96 0 0 0 3 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 151 : 8 56 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 72 : 24 216 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 150 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 71 : 24 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 76 : 24 40 0 0 0 0 0 0 1 
test_mpipdom_st_rt.1.sm_80.ptx 155 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 149 : 8 344 0 0 0 1 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 70 : 24 168 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 139 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 65 : 24 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 144 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 195 : 32 192 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 28 : 32 160 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 137 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 26 : 32 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 138 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 27 : 32 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 140 : 8 344 0 0 0 1 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 196 : 32 192 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 29 : 32 192 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 66 : 24 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 145 : 8 32 0 0 0 1 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 141 : 8 72 0 0 0 0 0 0 0 
